201708227105542|201708227105542|0
201708227105902|201708227105902|0
201708227105915|201708227105915|0
201708227111014|201708227111014|0
201708227111059|201708227111059|0
201708227111227|201708227111227|0
201708227111243|201708227111243|0
201708227111257|201708227111257|0
201708227111312|201708227111312|0
201708227111647|201708227111647|0
201708227111824|201708227111824|0
201708227112028|201708227112028|0
201708227112358|201708227112358|0
201708227112552|201708227112552|0
201708227112941|201708227112941|0
201708227113555|201708227113555|0
