201708229012343|201708229012343|0
201708229021558|201708229021558|0
201708229021632|201708229021632|0
201708229021759|201708229021759|0
201708229022023|201708229022023|0
201708229022259|201708229022259|0
201708229022314|201708229022314|0
201708229022727|201708229022727|0
201708229024756|201708229024756|0
201708229061713|201708229061713|0
201708229073607|201708229073607|0
201708229082439|201708229082439|0
201708229082750|201708229082750|0
201708229091844|201708229091844|0
201708229092150|201708229092150|0
201708229095459|201708229095459|0
201708229100932|201708229100932|0
201708229101129|201708229101129|0
201708229101329|201708229101329|0
201708229101345|201708229101345|0
