201708229012612|201708229012612|0
201708229013209|201708229013209|0
201708229013521|201708229013521|0
201708229014533|201708229014533|0
201708229015317|201708229015317|0
201708229020312|201708229020312|0
201708229021545|201708229021545|0
201708229021944|201708229021944|0
201708229022305|201708229022305|0
201708229022710|201708229022710|0
201708229022715|201708229022715|0
201708229022821|201708229022821|0
201708229023027|201708229023027|0
201708229023510|201708229023510|0
201708229024432|201708229024432|0
201708229101216|201708229101216|0
201708229101225|201708229101225|0
201708229101341|201708229101341|0
201708229101343|201708229101343|0
